N,Trial,Latency_ns
120000,3,86.4639412611723
130000,1,90.86679380673628
130000,2,85.98637695495898
130000,3,85.51759215501639
140000,1,88.37989132319177
140000,2,84.90444826228277
140000,3,85.34686639904976
150000,1,87.27896958589554
150000,2,85.1549580693245
150000,3,85.31610171000163
160000,1,87.50150445848703
160000,2,88.0916602909565
160000,3,85.92507801949978
170000,1,86.30106116042417
170000,2,84.60997658617357
170000,3,84.76209991118488
180000,1,87.63247686955664
180000,2,86.2422813143995
180000,3,86.14517541395294
190000,1,87.8922935379179
190000,2,85.83744301607734
190000,3,86.77017727964802
200000,1,87.26230822503567
200000,2,85.40892042219639
200000,3,85.58021858334541
230000,1,92.58183772149293
230000,2,85.34736445416576
230000,3,85.42498816614565
270000,1,93.93497473663754
270000,2,86.92594452036752
270000,3,86.74061132801904
290000,1,91.06359733589764
290000,2,89.21779306798145
290000,3,88.87920271733712
300000,1,89.12215009331703
300000,2,88.02746112147967
300000,3,88.03049102425575
325000,1,90.31043602870061
325000,2,88.93088079415836
325000,3,88.82179856300354
350000,1,88.14435452222824
350000,2,86.97972233806338
350000,3,86.92355560404914
375000,1,85.98536252975464
375000,2,85.82126100858054
375000,3,85.52782237529755
400000,1,86.50744333863258
400000,2,85.46172175556421
400000,3,85.55309846997261
410000,1,86.10698235471074
410000,2,85.44986840428375
410000,3,85.58242967942866
425000,1,92.27836833280676
425000,2,91.88818142694585
425000,3,91.67790412902832
430000,1,91.93023190248844
430000,2,91.55368302450624
430000,3,91.28058026003283
450000,1,92.6151830289099
450000,2,91.30513502491844
450000,3,91.19985832108392
475000,1,93.62991703184028
475000,2,93.04306224772805
475000,3,93.29033917502352
500000,1,93.40958669781685
500000,2,92.63244643807411
500000,3,92.7003026008606
525000,1,94.07125413417816
525000,2,93.4109552985146
525000,3,93.17865329129354
540000,1,92.29439483196647
540000,2,91.58624474097182
540000,3,91.5823021420726
575000,1,85.92289103114088
575000,2,85.70630589257115
575000,3,85.8611127604609
590000,1,94.26960121777098
590000,2,94.10226307177949
590000,3,93.8568264245987
600000,1,94.73305195569992
600000,2,94.54172725478809
600000,3,94.52458781500657
610000,1,94.88378208680231
610000,2,94.36306894802657
610000,3,94.34268061743408
625000,1,94.59673464298248
625000,2,94.88435983657837
625000,3,94.6672260761261
650000,1,95.05823827706851
650000,2,95.1161808692492
650000,3,95.11204293140997
675000,1,94.7407826229378
675000,2,94.6473385448809
675000,3,95.6608630992748
750000,1,96.21906280517578
750000,2,95.91792027155559
750000,3,95.9558809796969
800000,1,96.14802896976471
800000,2,96.21740086004138
800000,3,96.27632098272443
850000,1,96.53120137312833
850000,2,95.88182629907833
850000,3,96.16151013795067
900000,1,96.80854777495067
900000,2,96.62017019258606
900000,3,96.57756321960025
925000,1,96.49232432648942
925000,2,96.5072778431145
925000,3,96.22378929241283
950000,1,96.24541982224113
950000,2,96.1087565673025
950000,3,96.03806428219143
975000,1,97.16932781231709
975000,2,97.0016993009127
975000,3,96.94828819005917
1000000,1,97.88140282034874
1000000,2,97.5479707121849
1000000,3,97.36369550228119
5000000,1,107.19232447445393
5000000,2,97.93527647852898
5000000,3,98.79268035292625
10000000,1,109.82942692935467
10000000,2,98.85883554816246
10000000,3,98.97331316024065
15000000,1,105.90110023816428
15000000,2,99.03547279536724
15000000,3,99.09670638541381
20000000,1,131.7506331950426
20000000,2,124.87620562314987
20000000,3,124.91633333265781
30000000,1,146.91128892203173
30000000,2,145.66051084548235
30000000,3,145.55860174198943
40000000,1,152.87473956122994
40000000,2,151.57616953365505
40000000,3,151.8144005909562
50000000,1,157.83583659678698
50000000,2,156.38621535152197
50000000,3,156.38304881751537
60000000,1,160.3152915214499
60000000,2,159.10929267605147
60000000,3,159.1415566081802
70000000,1,162.3651536447661
70000000,2,161.52059507689307
70000000,3,161.49830610624383
