#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1717536715,1742,aceffaeea368,1,0,0,2018296,,77764,1289476,838444,330392,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,64,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536716,1041,aceffaeea368,1,0,0,2018296,,77764,1289476,838456,330380,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,64,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536717,1194,aceffaeea368,1,0,0,2018296,,77764,1289476,838464,330372,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,64,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536718,1301,aceffaeea368,1,0,0,2018296,,77764,1289476,838464,330372,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,64,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536719,1427,aceffaeea368,1,0,0,2018296,,77264,1288812,838464,330376,13844,623252,764456,95532,125060,527720,639396,0,0,1048576,812544,68,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2415344,34359738367,28880,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536720,1511,aceffaeea368,1,0,0,2018296,,76076,1288800,838476,331540,13844,625776,764064,95536,126012,530240,638052,0,0,1048576,812544,72,0,211104,64824,1688,232428,306796,232428,74368,8012,6236,0,0,0,2057724,2551864,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536721,1635,aceffaeea368,1,0,0,2018296,,73324,1288328,838476,333444,13844,635752,756908,95540,126548,540212,630360,0,0,1048576,812544,72,0,211644,64540,1688,232428,306800,232428,74372,7984,6292,0,0,0,2057724,2552152,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536722,1716,aceffaeea368,1,0,0,2018296,,71376,1286380,838520,333400,13844,635748,757032,95536,126672,540212,630360,0,0,1048576,812544,72,0,211764,64464,1688,232428,306800,232428,74372,8072,6240,0,0,0,2057724,2412216,34359738367,28960,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536723,1917,aceffaeea368,1,0,0,2018296,,69652,1284704,838564,333564,13848,635912,758236,95544,127984,540368,630252,0,0,1048576,812544,232,0,213104,64792,1688,232428,306800,232428,74372,8120,6240,0,0,0,2057724,2543388,34359738367,28960,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536724,2008,aceffaeea368,1,0,0,2018296,,69400,1284456,838588,333552,13848,635916,757764,95544,127512,540372,630252,0,0,1048576,812544,272,0,212612,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536725,1188,aceffaeea368,1,0,0,2018296,,69400,1284456,838604,333552,13848,635916,757764,95544,127512,540372,630252,0,0,1048576,812544,272,0,212612,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536726,1271,aceffaeea368,1,0,0,2018296,,69400,1284484,838612,333544,13848,635964,757744,95544,127512,540420,630232,0,0,1048576,812544,272,0,212612,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536727,1408,aceffaeea368,1,0,0,2018296,,69400,1284484,838620,333536,13848,635964,757744,95544,127512,540420,630232,0,0,1048576,812544,272,0,212612,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536728,1477,aceffaeea368,1,0,0,2018296,,69400,1284484,838632,333524,13848,635964,757744,95544,127512,540420,630232,0,0,1048576,812544,272,0,212612,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536729,1630,aceffaeea368,1,0,0,2018296,,69400,1284488,838640,333684,13848,635964,757748,95544,127512,540420,630236,0,0,1048576,812544,272,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536730,1728,aceffaeea368,1,0,0,2018296,,69400,1284488,838640,333688,13848,635964,757748,95544,127512,540420,630236,0,0,1048576,812544,276,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536731,1892,aceffaeea368,1,0,0,2018296,,69400,1284496,838644,333688,13848,635984,757736,95544,127512,540440,630224,0,0,1048576,812544,276,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536732,1996,aceffaeea368,1,0,0,2018296,,69400,1284496,838644,333688,13848,635984,757736,95544,127512,540440,630224,0,0,1048576,812544,276,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536733,1173,aceffaeea368,1,0,0,2018296,,69400,1284496,838652,333688,13848,635984,757736,95544,127512,540440,630224,0,0,1048576,812544,276,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536734,1252,aceffaeea368,1,0,0,2018296,,69400,1284496,838664,333688,13848,635984,757736,95544,127512,540440,630224,0,0,1048576,812544,276,0,212580,62908,1688,232428,306800,232428,74372,8056,6240,0,0,0,2057724,2411128,34359738367,28928,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
